"Path Profile X=[76,424] Y=[160,601] W=48   - Red","AD\jneylon 12/6/2023 3:35:42 PM"
x / mm,y / (16 bpch)
x1,y1
0.0,46864
0.2,46816
0.4,46843
0.6,46809
0.9,46850
1.1,46837
1.3,46857
1.5,46823
1.7,46774
1.9,46774
2.2,46850
2.4,46746
2.6,46767
2.8,46809
3.0,46774
3.2,46774
3.5,46802
3.7,46677
3.9,46725
4.1,46691
4.3,46718
4.5,46781
4.7,46767
5.0,46718
5.2,46788
5.4,46760
5.6,46739
5.8,46823
6.0,46711
6.3,46746
6.5,46746
6.7,46725
6.9,46739
7.1,46698
7.3,46760
7.5,46705
7.8,46670
8.0,46774
8.2,46656
8.4,46635
8.6,46614
8.8,46649
9.1,46621
9.3,46607
9.5,46607
9.7,46593
9.9,46607
10.1,46600
10.4,46559
10.6,46552
10.8,46559
11.0,46614
11.2,46531
11.4,46614
11.6,46510
11.9,46600
12.1,46510
12.3,46496
12.5,46454
12.7,46475
12.9,46329
13.2,46399
13.4,46427
13.6,46385
13.8,46441
14.0,46323
14.2,46357
14.5,46288
14.7,46323
14.9,46274
15.1,46302
15.3,46239
15.5,46288
15.7,46295
16.0,46239
16.2,46163
16.4,46163
16.6,46079
16.8,46156
17.0,46052
17.3,46003
17.5,45996
17.7,45996
17.9,45954
18.1,45961
18.3,45920
18.6,45927
18.8,45934
19.0,45836
19.2,45802
19.4,45788
19.6,45704
19.8,45649
20.1,45635
20.3,45621
20.5,45586
20.7,45420
20.9,45301
21.1,45267
21.4,44968
21.6,44794
21.8,44517
22.0,44329
22.2,43940
22.4,43593
22.6,43245
22.9,42933
23.1,42648
23.3,42266
23.5,41933
23.7,41627
23.9,41287
24.2,41231
24.4,41071
24.6,40960
24.8,40870
25.0,40800
25.2,40696
25.5,40523
25.7,40557
25.9,40418
26.1,40453
26.3,40335
26.5,40238
26.7,40085
27.0,40064
27.2,40071
27.4,39939
27.6,39877
27.8,39814
28.0,39793
28.3,39752
28.5,39654
28.7,39627
28.9,39564
29.1,39432
29.3,39377
29.6,39265
29.8,39154
30.0,39210
30.2,39113
30.4,39106
30.6,38995
30.8,38911
31.1,38870
31.3,38842
31.5,38710
31.7,38696
31.9,38613
32.1,38349
32.4,38522
32.6,38411
32.8,38335
33.0,38189
33.2,38217
33.4,38147
33.7,38064
33.9,38036
34.1,37925
34.3,37862
34.5,37876
34.7,37751
34.9,37716
35.2,37578
35.4,37619
35.6,37501
35.8,37334
36.0,37314
36.2,37147
36.5,37189
36.7,37147
36.9,37154
37.1,37043
37.3,36925
37.5,36855
37.7,36827
38.0,36800
38.2,36626
38.4,36682
38.6,36550
38.8,36473
39.0,36473
39.3,36473
39.5,36383
39.7,36327
39.9,36174
40.1,36154
40.3,36188
40.6,36140
40.8,36036
41.0,35938
41.2,35994
41.4,35917
41.6,35897
41.8,35779
42.1,35827
42.3,35813
42.5,35660
42.7,35723
42.9,35751
43.1,35647
43.4,35619
43.6,35591
43.8,35605
44.0,35556
44.2,35640
44.4,35612
44.7,35570
44.9,35542
45.1,35570
45.3,35654
45.5,35647
45.7,35702
45.9,35640
46.2,35758
46.4,35806
46.6,35841
46.8,35931
47.0,35952
47.2,35980
47.5,36098
47.7,36105
47.9,36258
48.1,36313
48.3,36418
48.5,36543
48.7,36536
49.0,36688
49.2,36737
49.4,36619
49.6,36543
49.8,36438
50.0,36536
50.3,36536
50.5,36480
50.7,36431
50.9,36501
51.1,36431
51.3,36376
51.6,36376
51.8,36313
52.0,36355
52.2,36265
52.4,36230
52.6,36300
52.8,36258
53.1,36265
53.3,36188
53.5,36056
53.7,36008
53.9,35952
54.1,35869
54.4,35792
54.6,35709
54.8,35772
55.0,35529
55.2,35577
55.4,35605
55.7,35522
55.9,35515
56.1,35529
56.3,35431
56.5,35508
56.7,35383
56.9,35452
57.2,35459
57.4,35438
57.6,35515
57.8,35473
58.0,35501
58.2,35459
58.5,35522
58.7,35612
58.9,35605
59.1,35619
59.3,35660
59.5,35681
59.8,35765
60.0,35737
60.2,35758
60.4,35820
60.6,35924
60.8,35994
61.0,35945
61.3,35994
61.5,36105
61.7,36112
61.9,36174
62.1,36286
62.3,36334
62.6,36418
62.8,36473
63.0,36473
63.2,36494
63.4,36570
63.6,36619
63.8,36709
64.1,36737
64.3,36807
64.5,36904
64.7,36966
64.9,37077
65.1,37077
65.4,37182
65.6,37237
65.8,37362
66.0,37432
66.2,37418
66.4,37564
66.7,37557
66.9,37682
67.1,37730
67.3,37807
67.5,37953
67.7,37980
67.9,38043
68.2,38099
68.4,38133
68.6,38196
68.8,38279
69.0,38286
69.2,38418
69.5,38411
69.7,38481
69.9,38564
70.1,38668
70.3,38682
70.5,38800
70.8,38960
71.0,38974
71.2,38932
71.4,39008
71.6,39168
71.8,39196
72.0,39293
72.3,39300
72.5,39390
72.7,39418
72.9,39418
73.1,39495
73.3,39606
73.6,39585
73.8,39627
74.0,39835
74.2,39856
74.4,39918
74.6,39995
74.8,40023
75.1,40161
75.3,40203
75.5,40231
75.7,40342
75.9,40439
76.1,40439
76.4,40606
76.6,40669
76.8,40759
77.0,40773
77.2,40794
77.4,40926
77.7,40974
77.9,41148
78.1,41238
78.3,41453
78.5,41662
78.7,42037
78.9,42342
79.2,42738
79.4,43016
79.6,43343
79.8,43641
80.0,44093
80.2,44378
80.5,44593
80.7,44808
80.9,44989
81.1,45142
81.3,45246
81.5,45315
81.8,45413
82.0,45399
82.2,45531
82.4,45517
82.6,45558
82.8,45649
83.0,45614
83.3,45732
83.5,45697
83.7,45760
83.9,45802
84.1,45795
84.3,45746
84.6,45871
84.8,45815
85.0,45822
85.2,45815
85.4,45857
85.6,45829
85.9,45892
86.1,45822
86.3,45885
86.5,45961
86.7,45906
86.9,45989
87.1,46031
87.4,45968
87.6,45961
87.8,45989
88.0,46072
88.2,46038
88.4,46079
88.7,46100
88.9,46107
89.1,46086
89.3,46059
89.5,46121
89.7,46086
89.9,46163
90.2,46086
90.4,46191
90.6,46121
90.8,46211
91.0,46218
91.2,46191
91.5,46211
91.7,46239
91.9,46177
92.1,46239
92.3,46225
92.5,46211
92.8,46225
93.0,46191
93.2,46184
93.4,46163
93.6,46197
93.8,46246
94.0,46204
94.3,46121
94.5,46177
94.7,46184
94.9,46163
95.1,46163

